=== n_sweep: 144 Æ¬´ıÅÜ£¨576 ¾Ö£¬18144 agent-¾Ö£©¡¤ jobs=10 ===
[ 72/144] rc=0   195s N=24 seeds=21-24 -> neu_n24_s21-24.jsonl
[ 73/144] rc=0   295s N=32 seeds=1-4 -> neu_n32_s1-4.jsonl
[ 74/144] rc=0   298s N=32 seeds=5-8 -> neu_n32_s5-8.jsonl
[ 75/144] rc=0   296s N=32 seeds=9-12 -> neu_n32_s9-12.jsonl
[ 76/144] rc=0   286s N=32 seeds=13-16 -> neu_n32_s13-16.jsonl
[ 77/144] rc=0   293s N=32 seeds=17-20 -> neu_n32_s17-20.jsonl
[ 78/144] rc=0   296s N=32 seeds=21-24 -> neu_n32_s21-24.jsonl
[ 79/144] rc=0   415s N=40 seeds=1-4 -> neu_n40_s1-4.jsonl
[ 80/144] rc=0   412s N=40 seeds=5-8 -> neu_n40_s5-8.jsonl
[ 81/144] rc=0   412s N=40 seeds=9-12 -> neu_n40_s9-12.jsonl
[ 82/144] rc=0   411s N=40 seeds=13-16 -> neu_n40_s13-16.jsonl
[ 83/144] rc=0   410s N=40 seeds=17-20 -> neu_n40_s17-20.jsonl
[ 84/144] rc=0   412s N=40 seeds=21-24 -> neu_n40_s21-24.jsonl
[ 85/144] rc=0   581s N=48 seeds=1-4 -> neu_n48_s1-4.jsonl
[ 86/144] rc=0   577s N=48 seeds=5-8 -> neu_n48_s5-8.jsonl
[ 87/144] rc=0   583s N=48 seeds=9-12 -> neu_n48_s9-12.jsonl
[ 88/144] rc=0   581s N=48 seeds=13-16 -> neu_n48_s13-16.jsonl
[ 89/144] rc=0   594s N=48 seeds=17-20 -> neu_n48_s17-20.jsonl
[ 90/144] rc=0   594s N=48 seeds=21-24 -> neu_n48_s21-24.jsonl
[ 91/144] rc=0   926s N=60 seeds=1-4 -> neu_n60_s1-4.jsonl
[ 92/144] rc=0   922s N=60 seeds=5-8 -> neu_n60_s5-8.jsonl
[ 93/144] rc=0   938s N=60 seeds=9-12 -> neu_n60_s9-12.jsonl
[ 94/144] rc=0   932s N=60 seeds=13-16 -> neu_n60_s13-16.jsonl
